Unit,Age,Sex,Location,2009,2009_status,2010,2010_status,2011,2011_status,2012,2012_status,2013,2013_status,2014,2014_status,2015,2015_status,2016,2016_status,2017,2017_status,2018,2018_status,2019,2019_status,2020,2020_status
NR,TOTAL,T,ES,1070167,ok,1083679,ok,1091664,ok,1100715,ok,1110112,ok,1115841,ok,1124972,ok,1135527,ok,1150962,ok,1166923,ok,1188220,ok,1210725,ok
NR,TOTAL,T,ES,8212968,ok,8276008,ok,8332080,ok,8377810,ok,8393175,ok,8388875,ok,8399618,ok,8403774,ok,8408976,ok,8410095,ok,8427405,ok,8478083,ok
NR,TOTAL,T,ES,1441787,ok,1453543,ok,1459075,ok,1461925,ok,1461983,ok,1461803,ok,1463773,ok,1466474,ok,1472991,ok,1475569,ok,1487663,ok,1504869,ok
NR,TOTAL,T,ES,76927,ok,79294,ok,81621,ok,83845,ok,84539,ok,84674,ok,84692,ok,84652,ok,85034,ok,85209,ok,84829,ok,84085,ok
NR,TOTAL,T,ES,73365,ok,76049,ok,78866,ok,81792,ok,83620,ok,83870,ok,84570,ok,84764,ok,84946,ok,84708,ok,84689,ok,84473,ok
NR,TOTAL,T,ES,2025490,ok,2045163,ok,2064871,ok,2085938,ok,2105234,ok,2114845,ok,2126144,ok,2135209,ok,2154978,ok,2177048,ok,2206901,ok,2236992,ok
NR,TOTAL,T,FI,1349600,ok,1355168,ok,1360041,ok,1365259,ok,1370384,ok,1374403,ok,1377281,ok,1379116,ok,1380593,ok,1380365,ok,1379749,ok,1378652,ok
NR,TOTAL,T,FI,1501511,ok,1517542,ok,1532309,ok,1549058,ok,1566835,ok,1585473,ok,1603388,ok,1620261,ok,1638293,ok,1655624,ok,1671024,ok,1689725,ok
NR,TOTAL,T,FI,1151466,ok,1153839,ok,1156791,ok,1159039,ok,1160732,ok,1161882,ok,1161706,ok,1160491,ok,1159174,ok,1157001,ok,1152719,ok,1148794,ok
NR,TOTAL,T,FI,1296281,ok,1297144,ok,1298128,ok,1299557,ok,1300222,ok,1300846,ok,1300462,ok,1298457,ok,1296023,ok,1290651,ok,1284638,ok,1278237,ok
NR,TOTAL,T,FI,27456,ok,27734,ok,28007,ok,28354,ok,28501,ok,28666,ok,28916,ok,28983,ok,29214,ok,29489,ok,29789,ok,29884,ok
NR,TOTAL,T,FR,11728240,ok,11786234,ok,11852851,ok,11898502,ok,11959807,ok,12027565,ok,12082144,ok,12117132,ok,12174880,ok,12213447,ok,12252917,ok,12291557,ok
NR,TOTAL,T,FR,2538590,ok,2548065,ok,2556835,ok,2563586,ok,2570548,ok,2577435,ok,2578592,ok,2577866,ok,2576252,ok,2572853,ok,2569510,ok,2565726,ok
NR,TOTAL,T,FR,1642440,ok,1642115,ok,1642734,ok,1641130,ok,1642687,ok,1642551,ok,1641205,ok,1637941,ok,1632887,ok,1628737,ok,1623815,ok,1618321,ok
NR,TOTAL,T,FR,1168208,ok,1171763,ok,1173440,ok,1175684,ok,1177096,ok,1178072,ok,1179735,ok,1180397,ok,1178536,ok,1179070,ok,1177762,ok,1176196,ok
NR,TOTAL,T,FR,1470880,ok,1473494,ok,1475684,ok,1477209,ok,1478712,ok,1479378,ok,1479484,ok,1477349,ok,1474257,ok,1471632,ok,1467715,ok,1463606,ok
