TypeOfRoad,Unit,Country,Year,RoadTrafficDeaths
MWAY,RT,ES,2003,2.5
MWAY,RT,FI,2003,0.1
MWAY,RT,FR,2003,0.7
MWAY,RT,HU,2003,0.6
MWAY,RT,IE,2003,0.2
MWAY,RT,IT,2003,1.2
MWAY,RT,LU,2003,1.3
MWAY,RT,NL,2003,0.9
MWAY,RT,PL,2003,0.1
MWAY,RT,PT,2003,1.2
MWAY,RT,RO,2003,0.1
MWAY,RT,SE,2003,0.3
MWAY,RT,SI,2003,1.7
MWAY,RT,SK,2003,0.3
MWAY,RT,UK,2003,0.4
RD_RUR,NR,AT,2003,602.0
RD_RUR,NR,BE,2003,723.0
RD_RUR,NR,CH,2003,317.0
RD_RUR,NR,CZ,2003,843.0
RD_RUR,NR,DE,2003,4156.0
RD_RUR,NR,DK,2003,287.0
RD_RUR,NR,EL,2003,831.0
RD_RUR,NR,ES,2003,3405.0
RD_RUR,NR,FI,2003,271.0
RD_RUR,NR,FR,2003,3941.0
RD_RUR,NR,HU,2003,790.0
RD_RUR,NR,IE,2003,240.0
RD_RUR,NR,IS,2003,17.0
RD_RUR,NR,IT,2003,3106.0
RD_RUR,NR,LU,2003,31.0
RD_RUR,NR,NL,2003,531.0
RD_RUR,NR,PL,2003,2953.0
RD_RUR,NR,PT,2003,752.0
RD_RUR,NR,RO,2003,711.0
RD_RUR,NR,SE,2003,364.0
RD_RUR,NR,SI,2003,136.0
RD_RUR,NR,SK,2003,326.0
RD_RUR,NR,UK,2003,2004.0
RD_RUR,RT,AT,2003,7.4
RD_RUR,RT,BE,2003,7.0
RD_RUR,RT,CH,2003,4.3
RD_RUR,RT,CZ,2003,8.3
RD_RUR,RT,DE,2003,5.0
RD_RUR,RT,DK,2003,5.3
RD_RUR,RT,EL,2003,7.6
RD_RUR,RT,ES,2003,8.1
RD_RUR,RT,FI,2003,5.2
RD_RUR,RT,FR,2003,6.3
RD_RUR,RT,HU,2003,7.8
RD_RUR,RT,IE,2003,6.0
RD_RUR,RT,IS,2003,5.9
RD_RUR,RT,IT,2003,5.4
RD_RUR,RT,LU,2003,6.9
RD_RUR,RT,NL,2003,3.3
RD_RUR,RT,PL,2003,7.7
